%wavelength nm	Hb02 mm-1/mM	Hb mm-1/mM	H20 1/mm	fat  (mm-1 ) 	cpta (mm-1)/(mg/L)
650	0.11651	0.86186	0.00032	0.00031301	0.0036673
652	0.11313	0.84975	0.00034883	0.00030159	0.0035778
654	0.10976	0.8376	0.00037767	0.00029561	0.0034938
656	0.10713	0.82317	0.00040036	0.00029098	0.0034223
658	0.10454	0.80864	0.00042068	0.00028464	0.0033577
660	0.10267	0.79166	0.00043723	0.00027786	0.0033038
662	0.10087	0.77463	0.00044904	0.00028517	0.0032623
664	0.099958	0.75677	0.00045953	0.00029665	0.0032300
666	0.099093	0.73882	0.00046341	0.00030805	0.0032084
668	0.098703	0.7198	0.00046729	0.00031943	0.0031986
670	0.09834	0.70052	0.00047162	0.00031388	0.0031980
672	0.098202	0.67888	0.000476	0.00030245	0.0032065
674	0.098061	0.65723	0.00048123	0.00028287	0.0032231
676	0.097889	0.6356	0.00048702	0.00026023	0.0032457
678	0.097695	0.614	0.00049263	0.00024029	0.0032730
680	0.097366	0.5927	0.0004979	0.00022144	0.0033035
682	0.097038	0.57156	0.00050335	0.00020482	0.0033325
684	0.096709	0.55126	0.00051179	0.00018918	0.0033606
686	0.09638	0.53123	0.00052023	0.00017642	0.0033839
688	0.096051	0.51246	0.00053635	0.00016499	0.0034003
690	0.095754	0.49419	0.00055465	0.00016118	0.0034083
692	0.095585	0.4779	0.00057365	0.00016118	0.0034073
694	0.095482	0.46212	0.00059334	0.0001521	0.0033954
696	0.095606	0.44818	0.00061459	0.00013815	0.0033718
698	0.095831	0.43488	0.0006413	0.00012741	0.0033384
700	0.096368	0.42359	0.00066801	0.0001185	0.0032947
702	0.097002	0.4124	0.00070141	0.00011513	0.0032439
704	0.097909	0.4015	0.0007352	0.00011513	0.0031840
706	0.098928	0.3906	0.00077553	0.00010821	0.0031152
708	0.10023	0.37972	0.00081911	9.68E-05	0.0030430
710	0.10156	0.36917	0.00087178	9.82E-05	0.0029666
712	0.10294	0.35941	0.00093872	0.00010841	0.0028876
714	0.10435	0.35015	0.0010084	0.00012579	0.0028074
716	0.10582	0.34194	0.0011003	0.00014844	0.0027279
718	0.10731	0.33394	0.0011921	0.0001714	0.0026478
720	0.10884	0.32634	0.0012777	0.0001946	0.0025694
722	0.1104	0.31913	0.0013621	0.00022403	0.0024960
724	0.11202	0.31263	0.0014746	0.00025865	0.0024205
726	0.11368	0.30685	0.0016096	0.00029934	0.0023460
728	0.1154	0.30225	0.0017669	0.00034539	0.0022734
730	0.11721	0.29878	0.0019821	0.00037378	0.0022001
732	0.11915	0.29695	0.0021974	0.00038556	0.0021281
734	0.12124	0.29662	0.0023893	0.00039162	0.0020596
736	0.1235	0.29835	0.0025813	0.00039196	0.0019791
738	0.12566	0.30161	0.0026869	0.0004148	0.0019069
740	0.12768	0.30678	0.0027594	0.00046155	0.0018348
742	0.12968	0.31324	0.0028082	0.00051868	0.0017635
744	0.13165	0.32117	0.0028272	0.00058755	0.0016899
746	0.13366	0.33048	0.0028436	0.00065571	0.0016200
748	0.13572	0.34125	0.002847	0.00072304	0.0015523
750	0.13786	0.35173	0.0028503	0.0007764	0.0014862
752	0.14009	0.36194	0.0028611	0.00081195	0.0014221
754	0.1425	0.37125	0.0028728	0.00085196	0.0013604
756	0.14508	0.37977	0.0028735	0.00089801	0.0013014
758	0.14751	0.38347	0.0028672	0.00092844	0.0012449
760	0.14981	0.38317	0.0028629	0.00093636	0.0011915
762	0.15208	0.37845	0.0028626	0.00090243	0.0011382
764	0.15431	0.37035	0.0028615	0.00080415	0.0010894
766	0.15656	0.35882	0.0028469	0.00069078	0.0010437
768	0.15884	0.34487	0.0028323	0.00055263	0.0010010
770	0.16118	0.32987	0.0028123	0.00042512	0.0009598
772	0.16356	0.31419	0.0027907	0.00031627	0.0009193
774	0.16615	0.2977	0.0027704	0.00022549	0.0008832
776	0.16888	0.28073	0.0027515	0.00016848	0.0008488
778	0.17143	0.26638	0.0027275	0.00012287	0.0008164
780	0.17388	0.25347	0.0026862	0.00010003	0.0007858
782	0.17628	0.24322	0.0026449	7.83E-05	0.0007556
784	0.17865	0.23431	0.0025978	5.90E-05	0.0007282
786	0.18102	0.22691	0.0025503	4.56E-05	0.0007024
788	0.18338	0.22019	0.0025067	4.58E-05	0.0006768
790	0.18577	0.21447	0.002465	4.61E-05	0.0006538
792	0.18817	0.20916	0.0024226	4.61E-05	0.0006317
794	0.19081	0.20448	0.0023792	5.07E-05	0.0006101
796	0.19354	0.20003	0.002336	6.76E-05	0.0005905
798	0.19602	0.19656	0.0022939	8.46E-05	0.0005719
800	0.19843	0.19342	0.0022518	0.00010193	0.0005534
802	0.20067	0.19105	0.0022289	0.00012179	0.0005363
804	0.20286	0.1889	0.0022099	0.00014963	0.0005204
806	0.20536	0.18708	0.0021984	0.0001767	0.0005045
808	0.20795	0.18535	0.002193	0.00020119	0.0004901
810	0.21044	0.18404	0.0021932	0.00022637	0.0004761
812	0.21291	0.18284	0.0022081	0.00025407	0.0004628
814	0.21502	0.18206	0.002223	0.00028075	0.0004499
816	0.21706	0.18136	0.0022627	0.00030324	0.0004381
818	0.2193	0.18078	0.0023025	0.00032724	0.0004263
820	0.22157	0.18021	0.0023675	0.00035807	0.0004156
822	0.22394	0.17979	0.0024422	0.00038631	0.0004047
824	0.22632	0.1794	0.0025603	0.00040154	0.0003949
826	0.22832	0.1793	0.0027326	0.00041486	0.0003847
828	0.23026	0.17924	0.0029212	0.00041746	0.0003758
830	0.23231	0.17917	0.0031921	0.00041662	0.0003669
832	0.23437	0.1791	0.0034629	0.00039393	0.0003585
834	0.23671	0.17902	0.0036191	0.00037228	0.0003502
836	0.23907	0.17894	0.0037608	0.00035808	0.0003423
838	0.24097	0.17894	0.0038604	0.00034312	0.0003352
840	0.24284	0.17894	0.003933	0.00032181	0.0003281
842	0.24461	0.17904	0.0040004	0.00030126	0.0003214
844	0.24638	0.17914	0.0040571	0.0002883	0.0003153
846	0.24847	0.17934	0.0041131	0.00027631	0.0003091
848	0.25056	0.17954	0.0041565	0.00027631	0.0003035
850	0.25243	0.17987	0.0041999	0.00027631	0.0002976
852	0.25429	0.18021	0.0042426	0.00027631	0.0002917
854	0.25589	0.18068	0.0042851	0.00027682	0.0002867
856	0.2575	0.18116	0.0043369	0.00028795	0.0002819
858	0.2593	0.18177	0.0043981	0.00030015	0.0002766
860	0.26111	0.18239	0.0044566	0.00034598	0.0002717
862	0.26293	0.18318	0.004506	0.00039234	0.0002670
864	0.26472	0.18399	0.0045555	0.00047248	0.0002625
866	0.26635	0.18501	0.0046257	0.00055263	0.0002581
868	0.26794	0.18602	0.0046971	0.00064507	0.0002536
870	0.26932	0.18696	0.0047756	0.00073752	0.0002495
872	0.2707	0.1879	0.0048577	0.00088744	0.0002452
874	0.27201	0.1888	0.0049495	0.0010382	0.0002417
876	0.27332	0.18977	0.0050566	0.0012784	0.0002378
878	0.27463	0.19105	0.0051644	0.0015213	0.0002341
880	0.27593	0.19234	0.0052783	0.0018641	0.0002308
882	0.27719	0.19365	0.0053922	0.0022118	0.0002274
884	0.27843	0.19495	0.005497	0.0026797	0.0002240
886	0.27957	0.19626	0.0056	0.0031556	0.0002207
888	0.28065	0.19751	0.0057182	0.0036758	0.0002176
890	0.28153	0.19855	0.0058485	0.0041997	0.0002151
892	0.2824	0.19958	0.0059722	0.0044651	0.0002132
894	0.28325	0.20054	0.0060786	0.0047047	0.0002109
896	0.2841	0.20149	0.006185	0.0047409	0.0002085
898	0.28495	0.20243	0.0062922	0.0047531	0.0002058
900	0.28578	0.20332	0.0063994	0.0048954	0.0002033
902	0.28656	0.20406	0.0065231	0.0050558	0.0002007
904	0.2873	0.20471	0.0066532	0.0054783	0.0001982
906	0.28795	0.20514	0.0067955	0.0059422	0.0001958
908	0.28854	0.20546	0.0069531	0.0066533	0.0001935
910	0.28903	0.20552	0.0071212	0.0074085	0.0001914
912	0.28945	0.20546	0.0073413	0.0081308	0.0001894
914	0.28974	0.20517	0.0075615	0.0088464	0.0001873
916	0.29	0.20475	0.0078922	0.0094176	0.0001852
918	0.29018	0.20409	0.0082367	0.0099567	0.0001831
920	0.29035	0.20325	0.0087093	0.010469	0.0001813
922	0.29052	0.20209	0.0092633	0.010974	0.0001793
924	0.29067	0.20073	0.0098433	0.011345	0.0001775
926	0.29079	0.19904	0.010475	0.011681	0.0001758
928	0.29086	0.19712	0.01113	0.011631	0.0001737
930	0.29086	0.19486	0.012188	0.011466	0.0001718
932	0.29075	0.19243	0.013246	0.010754	0.0001699
934	0.29049	0.18977	0.014419	0.0098676	0.0001679
936	0.2902	0.18694	0.015625	0.0086855	0.0001660
938	0.2899	0.18392	0.017071	0.0074003	0.0001641
940	0.28959	0.18072	0.018757	0.0062007	0.0001623
942	0.28928	0.17735	0.02044	0.0050332	0.0001603
944	0.28891	0.17373	0.022112	0.0041383	0.0001585
946	0.28846	0.16985	0.023784	0.0033536	0.0001564
948	0.28794	0.1658	0.026747	0.002785	0.0001548
950	0.28735	0.1616	0.029785	0.0023107	0.0001527
952	0.28671	0.1573	0.032953	0.0019588	0.0001509
954	0.28603	0.15292	0.036186	0.001664	0.0001488
956	0.28521	0.1485	0.039088	0.0014508	0.0001471
