%wavelength nm	Hb02 mm-1/mM	Hb mm-1/mM	H20 1/mm	fat  (mm-1 ) 
650.00	0.11651	0.86186	0.00032000	0.00031301
652.00	0.11313	0.84975	0.00034883	0.00030159
654.00	0.10976	0.83760	0.00037767	0.00029561
656.00	0.10713	0.82317	0.00040036	0.00029098
658.00	0.10454	0.80864	0.00042068	0.00028464
660.00	0.10267	0.79166	0.00043723	0.00027786
662.00	0.10087	0.77463	0.00044904	0.00028517
664.00	0.099958	0.75677	0.00045953	0.00029665
666.00	0.099093	0.73882	0.00046341	0.00030805
668.00	0.098703	0.71980	0.00046729	0.00031943
670.00	0.098340	0.70052	0.00047162	0.00031388
672.00	0.098202	0.67888	0.00047600	0.00030245
674.00	0.098061	0.65723	0.00048123	0.00028287
676.00	0.097889	0.63560	0.00048702	0.00026023
678.00	0.097695	0.61400	0.00049263	0.00024029
680.00	0.097366	0.59270	0.00049790	0.00022144
682.00	0.097038	0.57156	0.00050335	0.00020482
684.00	0.096709	0.55126	0.00051179	0.00018918
686.00	0.096380	0.53123	0.00052023	0.00017642
688.00	0.096051	0.51246	0.00053635	0.00016499
690.00	0.095754	0.49419	0.00055465	0.00016118
692.00	0.095585	0.47790	0.00057365	0.00016118
694.00	0.095482	0.46212	0.00059334	0.00015210
696.00	0.095606	0.44818	0.00061459	0.00013815
698.00	0.095831	0.43488	0.00064130	0.00012741
700.00	0.096368	0.42359	0.00066801	0.00011850
702.00	0.097002	0.41240	0.00070141	0.00011513
704.00	0.097909	0.40150	0.00073520	0.00011513
706.00	0.098928	0.39060	0.00077553	0.00010821
708.00	0.10023	0.37972	0.00081911	9.6777e-05
710.00	0.10156	0.36917	0.00087178	9.8163e-05
712.00	0.10294	0.35941	0.00093872	0.00010841
714.00	0.10435	0.35015	0.0010084	0.00012579
716.00	0.10582	0.34194	0.0011003	0.00014844
718.00	0.10731	0.33394	0.0011921	0.00017140
720.00	0.10884	0.32634	0.0012777	0.00019460
722.00	0.11040	0.31913	0.0013621	0.00022403
724.00	0.11202	0.31263	0.0014746	0.00025865
726.00	0.11368	0.30685	0.0016096	0.00029934
728.00	0.11540	0.30225	0.0017669	0.00034539
730.00	0.11721	0.29878	0.0019821	0.00037378
732.00	0.11915	0.29695	0.0021974	0.00038556
734.00	0.12124	0.29662	0.0023893	0.00039162
736.00	0.12350	0.29835	0.0025813	0.00039196
738.00	0.12566	0.30161	0.0026869	0.00041480
740.00	0.12768	0.30678	0.0027594	0.00046155
742.00	0.12968	0.31324	0.0028082	0.00051868
744.00	0.13165	0.32117	0.0028272	0.00058755
746.00	0.13366	0.33048	0.0028436	0.00065571
748.00	0.13572	0.34125	0.0028470	0.00072304
750.00	0.13786	0.35173	0.0028503	0.00077640
752.00	0.14009	0.36194	0.0028611	0.00081195
754.00	0.14250	0.37125	0.0028728	0.00085196
756.00	0.14508	0.37977	0.0028735	0.00089801
758.00	0.14751	0.38347	0.0028672	0.00092844
760.00	0.14981	0.38317	0.0028629	0.00093636
762.00	0.15208	0.37845	0.0028626	0.00090243
764.00	0.15431	0.37035	0.0028615	0.00080415
766.00	0.15656	0.35882	0.0028469	0.00069078
768.00	0.15884	0.34487	0.0028323	0.00055263
770.00	0.16118	0.32987	0.0028123	0.00042512
772.00	0.16356	0.31419	0.0027907	0.00031627
774.00	0.16615	0.29770	0.0027704	0.00022549
776.00	0.16888	0.28073	0.0027515	0.00016848
778.00	0.17143	0.26638	0.0027275	0.00012287
780.00	0.17388	0.25347	0.0026862	0.00010003
782.00	0.17628	0.24322	0.0026449	7.8302e-05
784.00	0.17865	0.23431	0.0025978	5.8954e-05
786.00	0.18102	0.22691	0.0025503	4.5556e-05
788.00	0.18338	0.22019	0.0025067	4.5846e-05
790.00	0.18577	0.21447	0.0024650	4.6052e-05
792.00	0.18817	0.20916	0.0024226	4.6052e-05
794.00	0.19081	0.20448	0.0023792	5.0667e-05
796.00	0.19354	0.20003	0.0023360	6.7591e-05
798.00	0.19602	0.19656	0.0022939	8.4614e-05
800.00	0.19843	0.19342	0.0022518	0.00010193
802.00	0.20067	0.19105	0.0022289	0.00012179
804.00	0.20286	0.18890	0.0022099	0.00014963
806.00	0.20536	0.18708	0.0021984	0.00017670
808.00	0.20795	0.18535	0.0021930	0.00020119
810.00	0.21044	0.18404	0.0021932	0.00022637
812.00	0.21291	0.18284	0.0022081	0.00025407
814.00	0.21502	0.18206	0.0022230	0.00028075
816.00	0.21706	0.18136	0.0022627	0.00030324
818.00	0.21930	0.18078	0.0023025	0.00032724
820.00	0.22157	0.18021	0.0023675	0.00035807
822.00	0.22394	0.17979	0.0024422	0.00038631
824.00	0.22632	0.17940	0.0025603	0.00040154
826.00	0.22832	0.17930	0.0027326	0.00041486
828.00	0.23026	0.17924	0.0029212	0.00041746
830.00	0.23231	0.17917	0.0031921	0.00041662
832.00	0.23437	0.17910	0.0034629	0.00039393
834.00	0.23671	0.17902	0.0036191	0.00037228
836.00	0.23907	0.17894	0.0037608	0.00035808
838.00	0.24097	0.17894	0.0038604	0.00034312
840.00	0.24284	0.17894	0.0039330	0.00032181
842.00	0.24461	0.17904	0.0040004	0.00030126
844.00	0.24638	0.17914	0.0040571	0.00028830
846.00	0.24847	0.17934	0.0041131	0.00027631
848.00	0.25056	0.17954	0.0041565	0.00027631
850.00	0.25243	0.17987	0.0041999	0.00027631
852.00	0.25429	0.18021	0.0042426	0.00027631
854.00	0.25589	0.18068	0.0042851	0.00027682
856.00	0.25750	0.18116	0.0043369	0.00028795
858.00	0.25930	0.18177	0.0043981	0.00030015
860.00	0.26111	0.18239	0.0044566	0.00034598
862.00	0.26293	0.18318	0.0045060	0.00039234
864.00	0.26472	0.18399	0.0045555	0.00047248
866.00	0.26635	0.18501	0.0046257	0.00055263
868.00	0.26794	0.18602	0.0046971	0.00064507
870.00	0.26932	0.18696	0.0047756	0.00073752
872.00	0.27070	0.18790	0.0048577	0.00088744
874.00	0.27201	0.18880	0.0049495	0.0010382
876.00	0.27332	0.18977	0.0050566	0.0012784
878.00	0.27463	0.19105	0.0051644	0.0015213
880.00	0.27593	0.19234	0.0052783	0.0018641
882.00	0.27719	0.19365	0.0053922	0.0022118
884.00	0.27843	0.19495	0.0054970	0.0026797
886.00	0.27957	0.19626	0.0056000	0.0031556
888.00	0.28065	0.19751	0.0057182	0.0036758
890.00	0.28153	0.19855	0.0058485	0.0041997
892.00	0.28240	0.19958	0.0059722	0.0044651
