%wavelength nm	Hb02 mm-1/mM	Hb mm-1/mM	H20 1/mm	fat  (mm-1 ) 
650	0.11651	0.86186	0.00032	7.96078E-05
652	0.11313	0.84975	0.00034883	7.96078E-05
654	0.10976	0.8376	0.00037767	7.96078E-05
656	0.10713	0.82317	0.00040036	7.96078E-05
658	0.10454	0.80864	0.00042068	7.96078E-05
660	0.10267	0.79166	0.00043723	7.96078E-05
662	0.10087	0.77463	0.00044904	7.96078E-05
664	0.099958	0.75677	0.00045953	7.96078E-05
666	0.099093	0.73882	0.00046341	7.96078E-05
668	0.098703	0.7198	0.00046729	7.96078E-05
670	0.09834	0.70052	0.00047162	7.96078E-05
672	0.098202	0.67888	0.000476	7.96078E-05
674	0.098061	0.65723	0.00048123	7.96078E-05
676	0.097889	0.6356	0.00048702	7.96078E-05
678	0.097695	0.614	0.00049263	7.96078E-05
680	0.097366	0.5927	0.0004979	7.96078E-05
682	0.097038	0.57156	0.00050335	7.96078E-05
684	0.096709	0.55126	0.00051179	7.96078E-05
686	0.09638	0.53123	0.00052023	7.96078E-05
688	0.096051	0.51246	0.00053635	7.96078E-05
690	0.095754	0.49419	0.00055465	7.96078E-05
692	0.095585	0.4779	0.00057365	7.96078E-05
694	0.095482	0.46212	0.00059334	7.96078E-05
696	0.095606	0.44818	0.00061459	7.96078E-05
698	0.095831	0.43488	0.0006413	7.96078E-05
700	0.096368	0.42359	0.00066801	7.96078E-05
702	0.097002	0.4124	0.00070141	7.96078E-05
704	0.097909	0.4015	0.0007352	7.96078E-05
706	0.098928	0.3906	0.00077553	7.96078E-05
708	0.10023	0.37972	0.00081911	7.96E-05
710	0.10156	0.36917	0.00087178	7.96E-05
712	0.10294	0.35941	0.00093872	7.96078E-05
714	0.10435	0.35015	0.0010084	7.96078E-05
716	0.10582	0.34194	0.0011003	7.96078E-05
718	0.10731	0.33394	0.0011921	7.96078E-05
720	0.10884	0.32634	0.0012777	9.56528E-05
722	0.1104	0.31913	0.0013621	0.000101447
724	0.11202	0.31263	0.0014746	9.60973E-05
726	0.11368	0.30685	0.0016096	0.000100189
728	0.1154	0.30225	0.0017669	8.96795E-05
730	0.11721	0.29878	0.0019821	8.85204E-05
732	0.11915	0.29695	0.0021974	9.32109E-05
734	0.12124	0.29662	0.0023893	0.000104787
736	0.1235	0.29835	0.0025813	0.000123019
738	0.12566	0.30161	0.0026869	0.000148391
740	0.12768	0.30678	0.0027594	0.000178875
742	0.12968	0.31324	0.0028082	0.000214518
744	0.13165	0.32117	0.0028272	0.000253662
746	0.13366	0.33048	0.0028436	0.00029635
748	0.13572	0.34125	0.002847	0.000341067
750	0.13786	0.35173	0.0028503	0.000385048
752	0.14009	0.36194	0.0028611	0.000425894
754	0.1425	0.37125	0.0028728	0.000462205
756	0.14508	0.37977	0.0028735	0.000491124
758	0.14751	0.38347	0.0028672	0.000510345
760	0.14981	0.38317	0.0028629	0.000514691
762	0.15208	0.37845	0.0028626	0.00049854
764	0.15431	0.37035	0.0028615	0.000458159
766	0.15656	0.35882	0.0028469	0.000399034
768	0.15884	0.34487	0.0028323	0.000333507
770	0.16118	0.32987	0.0028123	0.000266641
772	0.16356	0.31419	0.0027907	0.000206089
774	0.16615	0.2977	0.0027704	0.000154885
776	0.16888	0.28073	0.0027515	0.00010633
778	0.17143	0.26638	0.0027275	6.32565E-05
780	0.17388	0.25347	0.0026862	3.25499E-05
782	0.17628	0.24322	0.0026449	2.06E-05
784	0.17865	0.23431	0.0025978	2.30E-05
786	0.18102	0.22691	0.0025503	2.93E-05
788	0.18338	0.22019	0.0025067	2.72E-05
790	0.18577	0.21447	0.002465	1.74E-05
792	0.18817	0.20916	0.0024226	6.32E-06
794	0.19081	0.20448	0.0023792	6.91E-10
796	0.19354	0.20003	0.002336	1.63E-06
798	0.19602	0.19656	0.0022939	9.06E-06
800	0.19843	0.19342	0.0022518	2.14647E-05
802	0.20067	0.19105	0.0022289	3.73017E-05
804	0.20286	0.1889	0.0022099	5.47048E-05
806	0.20536	0.18708	0.0021984	7.26834E-05
808	0.20795	0.18535	0.002193	9.08925E-05
810	0.21044	0.18404	0.0021932	0.000109378
812	0.21291	0.18284	0.0022081	0.000127564
814	0.21502	0.18206	0.002223	0.000145658
816	0.21706	0.18136	0.0022627	0.000162831
818	0.2193	0.18078	0.0023025	0.000178529
820	0.22157	0.18021	0.0023675	0.000192823
822	0.22394	0.17979	0.0024422	0.000204561
824	0.22632	0.1794	0.0025603	0.000213604
826	0.22832	0.1793	0.0027326	0.000219124
828	0.23026	0.17924	0.0029212	0.000220935
830	0.23231	0.17917	0.0031921	0.000218924
832	0.23437	0.1791	0.0034629	0.000213412
834	0.23671	0.17902	0.0036191	0.000205022
836	0.23907	0.17894	0.0037608	0.000193338
838	0.24097	0.17894	0.0038604	0.000180088
840	0.24284	0.17894	0.003933	0.000167045
842	0.24461	0.17904	0.0040004	0.000154831
844	0.24638	0.17914	0.0040571	0.000144714
846	0.24847	0.17934	0.0041131	0.000137567
848	0.25056	0.17954	0.0041565	0.000135095
850	0.25243	0.17987	0.0041999	0.000130412
852	0.25429	0.18021	0.0042426	0.000129928
854	0.25589	0.18068	0.0042851	0.000136791
856	0.2575	0.18116	0.0043369	0.000153027
858	0.2593	0.18177	0.0043981	0.000179236
860	0.26111	0.18239	0.0044566	0.00021659
862	0.26293	0.18318	0.004506	0.000265322
864	0.26472	0.18399	0.0045555	0.000329322
866	0.26635	0.18501	0.0046257	0.000408062
868	0.26794	0.18602	0.0046971	0.000505018
870	0.26932	0.18696	0.0047756	0.000618671
872	0.2707	0.1879	0.0048577	0.000758463
874	0.27201	0.1888	0.0049495	0.000919489
876	0.27332	0.18977	0.0050566	0.001103752
878	0.27463	0.19105	0.0051644	0.001315006
880	0.27593	0.19234	0.0052783	0.001552353
882	0.27719	0.19365	0.0053922	0.001809783
884	0.27843	0.19495	0.005497	0.00208278
886	0.27957	0.19626	0.0056	0.002365849
888	0.28065	0.19751	0.0057182	0.00265377
890	0.28153	0.19855	0.0058485	0.002940586
892	0.2824	0.19958	0.0059722	0.003225375
894	0.28325	0.20054	0.0060786	0.003522669
896	0.2841	0.20149	0.006185	0.003834196
898	0.28495	0.20243	0.0062922	0.004170042
900	0.28578	0.20332	0.0063994	0.004546836
902	0.28656	0.20406	0.0065231	0.004978418
904	0.2873	0.20471	0.0066532	0.005453435
906	0.28795	0.20514	0.0067955	0.005972001
908	0.28854	0.20546	0.0069531	0.006525136
910	0.28903	0.20552	0.0071212	0.007108601
912	0.28945	0.20546	0.0073413	0.007689349
914	0.28974	0.20517	0.0075615	0.008238338
916	0.29	0.20475	0.0078922	0.008748176
918	0.29018	0.20409	0.0082367	0.009183259
920	0.29035	0.20325	0.0087093	0.009487876
922	0.29052	0.20209	0.0092633	0.009648395
924	0.29067	0.20073	0.0098433	0.009605813
926	0.29079	0.19904	0.010475	0.009367084
928	0.29086	0.19712	0.01113	0.00889893
930	0.29086	0.19486	0.012188	0.008278548
932	0.29075	0.19243	0.013246	0.007499881
934	0.29049	0.18977	0.014419	0.006650788
936	0.2902	0.18694	0.015625	0.005794049
938	0.2899	0.18392	0.017071	0.004949631
940	0.28959	0.18072	0.018757	0.004167601
942	0.28928	0.17735	0.02044	0.003468318
944	0.28891	0.17373	0.022112	0.002859934
946	0.28846	0.16985	0.023784	0.00233766
948	0.28794	0.1658	0.026747	0.001898724
950	0.28735	0.1616	0.029785	0.001544431
952	0.28671	0.1573	0.032953	0.001258398
954	0.28603	0.15292	0.036186	0.001022617
956	0.28521	0.1485	0.039088	0.000829902
958	0.28427	0.14406	0.041468	0.000678457
960	0.28329	0.13961	0.04374	0.000552874
962	0.2823	0.13516	0.045152	0.000450897
964	0.2813	0.13071	0.046564	0.000365548
966	0.2803	0.12626	0.047179	0.000298186
968	0.27929	0.12282	0.047635	0.000244065
970	0.27827	0.12001	0.048005	0.000203924
972	0.27723	0.11802	0.048306	0.000175804
974	0.27617	0.11649	0.048529	0.000163529
