%LAMBDA	H20 	  CPTA	Silicon	Nigrosin	Naphthol	IndiaSil	IndiaLiq
650	-0.000204144	0.00222	5.48E-05	2.45E-03	0.00179	9.63E-02	0.00044
652	-0.000311437	0.00217	5.48E-05	2.43E-03	0.00182	9.69E-02	0.000439
654	-0.000194524	0.00213	5.48E-05	2.40E-03	0.00183	9.76E-02	0.000436
656	-0.000187435	0.00209	5.48E-05	2.38E-03	0.00186	9.74E-02	0.000436
658	-0.000130825	0.00204	5.48E-05	2.35E-03	0.00189	9.75E-02	0.000435
660	-0.000125495	0.00202	5.48E-05	2.32E-03	0.0019	9.80E-02	0.000434
662	1.14E-05	0.002	5.48E-05	2.30E-03	0.00193	9.83E-02	0.000432
664	-5.23E-05	0.00199	5.48E-05	2.27E-03	0.00195	9.84E-02	0.000431
666	-2.09E-05	0.00198	5.48E-05	2.25E-03	0.00196	9.87E-02	0.000429
668	-1.63E-05	0.00197	5.48E-05	2.23E-03	0.00198	9.89E-02	0.000429
670	-2.65E-05	0.00198	5.48E-05	2.20E-03	0.00199	9.88E-02	0.000428
672	-2.05E-05	0.00199	5.48E-05	2.18E-03	0.00201	9.92E-02	0.000426
674	-3.93E-06	0.00201	5.48E-05	2.15E-03	0.00203	9.94E-02	0.000426
676	0.00019721	0.00201	5.48E-05	2.11E-03	0.00204	9.96E-02	0.000424
678	-3.39E-05	0.00203	5.48E-05	2.11E-03	0.00205	9.98E-02	0.000422
680	0.000135178	0.00204	5.48E-05	2.07E-03	0.00207	9.98E-02	0.000423
682	6.05E-05	0.00206	5.48E-05	2.05E-03	0.00208	1.00E-01	0.00042
684	0.000118451	0.00207	5.48E-05	2.03E-03	0.0021	1.00E-01	0.00042
686	0.000106108	0.00208	5.48E-05	2.01E-03	0.0021	1.00E-01	0.000419
688	7.57E-05	0.00209	5.48E-05	1.99E-03	0.00212	1.01E-01	0.000419
690	0.000212834	0.00207	5.48E-05	1.95E-03	0.00213	1.01E-01	0.000415
692	0.000279889	0.00207	5.48E-05	1.93E-03	0.00214	1.01E-01	0.000417
694	0.000268088	0.00205	5.48E-05	1.91E-03	0.00214	1.01E-01	0.000415
696	0.000275205	0.00203	5.48E-05	1.89E-03	0.00215	1.01E-01	0.000413
698	0.000276411	0.002	5.48E-05	1.86E-03	0.00216	1.01E-01	0.000413
700	0.000326426	0.00198	5.48E-05	1.85E-03	0.00217	1.01E-01	0.000411
702	0.000476158	0.00193	5.48E-05	1.82E-03	0.00217	1.01E-01	0.00041
704	0.00042422	0.0019	6.85E-05	1.80E-03	0.00218	1.02E-01	0.00041
706	0.000495958	0.00185	6.10E-05	1.77E-03	0.00218	1.02E-01	0.000408
708	0.000532486	0.00179	9.81E-05	1.76E-03	0.00218	1.02E-01	0.000407
710	0.000664484	0.00175	6.51E-05	1.73E-03	0.00219	1.02E-01	0.000406
712	0.00067428	0.0017	6.69E-05	1.72E-03	0.00219	1.02E-01	0.000406
714	0.000775418	0.00165	0.000112261	1.69E-03	0.00219	1.02E-01	0.000404
716	0.000813979	0.0016	0.000112467	1.68E-03	0.00218	1.02E-01	0.000404
718	0.001056724	0.00155	6.31E-05	1.65E-03	0.00218	1.02E-01	0.0004
720	0.000976971	0.0015	0.000137566	1.65E-03	0.00217	1.02E-01	0.000402
722	0.001296968	0.00146	0.000204644	1.61E-03	0.00217	1.02E-01	0.000401
724	0.001369393	0.00142	0.000254005	1.59E-03	0.00217	1.02E-01	0.000399
726	0.001500054	0.00138	0.000270351	1.58E-03	0.00216	1.02E-01	0.000399
728	0.001790849	0.00131	0.000373083	1.57E-03	0.00215	1.03E-01	0.000397
730	0.00204219	0.00127	0.00047532	1.54E-03	0.00215	1.03E-01	0.000397
732	0.002226286	0.00124	0.000601835	1.52E-03	0.00214	1.03E-01	0.000396
734	0.002396601	0.00119	0.000700027	1.51E-03	0.00213	1.03E-01	0.000394
736	0.002591905	0.00113	0.000883561	1.48E-03	0.00212	1.03E-01	0.00039
738	0.00280224	0.00109	0.001094759	1.45E-03	0.00209	1.03E-01	0.00039
740	0.002721044	0.00104	0.001139882	1.45E-03	0.00209	1.03E-01	0.000387
742	0.002858309	0.000992	0.001117437	1.43E-03	0.00207	1.03E-01	0.000387
744	0.003058806	0.000944	0.001040141	1.41E-03	0.00206	1.03E-01	0.000387
746	0.003031683	0.000905	0.000969607	1.40E-03	0.00204	1.03E-01	0.000388
748	0.003119873	0.000854	0.000675056	1.37E-03	0.00203	1.03E-01	0.000387
750	0.003063335	0.000835	0.000429927	1.36E-03	0.00201	1.03E-01	0.000385
752	0.003125043	0.000781	0.000329528	1.34E-03	0.00197	1.03E-01	0.000384
754	0.003068361	0.000752	0.000346947	1.33E-03	0.00195	1.03E-01	0.000384
756	0.003141656	0.000732	0.000213366	1.32E-03	0.00194	1.03E-01	0.000383
758	0.003134335	0.000698	0.000223379	1.30E-03	0.00191	1.03E-01	0.00038
760	0.003121479	0.000662	0.000195247	1.27E-03	0.00189	1.03E-01	0.000381
762	0.003071206	0.000629	0.000147985	1.28E-03	0.00186	1.03E-01	0.000378
764	0.003145799	0.000603	0.000107203	1.26E-03	0.00183	1.04E-01	0.000378
766	0.00306115	0.000556	0.000151445	1.24E-03	0.00181	1.03E-01	0.000374
768	0.003220922	0.000544	0.000140863	1.23E-03	0.00178	1.03E-01	0.000376
770	0.003281814	0.000532	0.000139741	1.21E-03	0.00176	1.03E-01	0.000376
772	0.003194154	0.000508	9.50E-05	1.19E-03	0.00173	1.04E-01	0.000375
774	0.003206455	0.000478	0.00013123	1.18E-03	0.00171	1.03E-01	0.000374
776	0.003135582	0.000461	0.000106431	1.18E-03	0.00168	1.03E-01	0.000372
778	0.003221714	0.000448	8.74E-05	1.15E-03	0.00166	1.03E-01	0.000371
780	0.003172143	0.000409	8.09E-05	1.14E-03	0.00163	1.03E-01	0.000371
782	0.003008782	0.000413	1.83E-05	1.14E-03	0.00158	1.04E-01	0.00037
784	0.003135469	0.000389	5.15E-05	1.11E-03	0.00156	1.03E-01	0.000368
786	0.003010252	0.000372	2.44E-05	1.11E-03	0.00153	1.04E-01	0.000366
788	0.00308071	0.000365	2.97E-05	1.09E-03	0.0015	1.03E-01	0.000368
790	0.00309598	0.000349	2.97E-05	1.07E-03	0.00147	1.04E-01	0.000366
792	0.003079696	0.000349	2.97E-05	1.06E-03	0.00144	1.04E-01	0.000365
794	0.00287604	0.00034	2.97E-05	1.06E-03	0.00141	1.04E-01	0.000366
796	0.002969183	0.000308	2.97E-05	1.03E-03	0.00137	1.04E-01	0.000365
798	0.002956278	0.000306	2.97E-05	1.02E-03	0.00135	1.04E-01	0.000362
800	0.002976719	0.000299	2.97E-05	1.01E-03	0.00134	1.04E-01	0.000361
802	0.002904533	0.000286	2.97E-05	9.98E-04	0.0013	1.04E-01	0.000361
804	0.002897762	0.000281	3.97E-05	9.92E-04	0.00127	1.03E-01	0.000359
806	0.002732271	0.00025	3.97E-05	9.91E-04	0.00123	1.03E-01	0.000358
808	0.002933233	0.000241	4.97E-05	9.65E-04	0.0012	1.03E-01	0.000359
810	0.002889854	0.000261	4.97E-05	9.59E-04	0.00118	1.04E-01	0.000357
812	0.002837051	0.000255	5.97E-05	9.51E-04	0.00115	1.03E-01	0.000356
814	0.003164435	0.000231	5.97E-05	9.22E-04	0.00112	1.03E-01	0.000354
816	0.003200732	0.000233	6.97E-05	9.21E-04	0.00108	1.03E-01	0.000355
818	0.003131088	0.000221	7.97E-05	9.12E-04	0.00105	1.03E-01	0.000355
820	0.003262193	0.000227	7.97E-05	9.07E-04	0.00104	1.03E-01	0.000352
822	0.003386472	0.000209	8.97E-05	8.91E-04	0.000998	1.03E-01	0.000354
824	0.003641348	0.0002	8.97E-05	8.73E-04	0.000964	1.03E-01	0.000352
826	0.003873112	0.000192	0.000153417	8.74E-04	0.000936	1.02E-01	0.000352
828	0.004109971	0.000175	0.000147865	8.60E-04	0.000914	1.02E-01	0.000349
830	0.00444514	0.000171	0.000157927	8.53E-04	0.000887	1.02E-01	0.000349
832	0.004666288	0.000176	0.000152207	8.32E-04	0.000868	1.02E-01	0.000349
834	0.004825869	0.000169	0.000143206	8.33E-04	0.00083	1.02E-01	0.00035
836	0.00509584	0.000172	0.000190899	8.12E-04	0.000817	1.02E-01	0.000346
838	0.005262627	0.000184	0.000235691	8.07E-04	0.000786	1.02E-01	0.000347
840	0.005332633	0.000179	0.000258443	8.14E-04	0.000758	1.02E-01	0.000345
842	0.005447678	0.000162	0.00030855	8.04E-04	0.000737	1.02E-01	0.000345
844	0.005540993	0.000167	0.000385226	7.79E-04	0.000713	1.02E-01	0.000343
846	0.005546693	0.000158	0.000450621	7.73E-04	0.000682	1.02E-01	0.000344
848	0.005761361	0.000141	0.000495173	7.61E-04	0.00067	1.02E-01	0.000342
850	0.005785534	0.000139	0.000546106	7.55E-04	0.000647	1.02E-01	0.00034
852	0.005817743	0.000143	0.000562822	7.43E-04	0.000619	1.02E-01	0.00034
854	0.005888862	0.000167	0.000555866	7.45E-04	0.000601	1.02E-01	0.000341
856	0.006023278	0.000133	0.00055303	7.30E-04	0.000585	1.02E-01	0.000341
858	0.006131267	0.000144	0.000512734	7.15E-04	0.000557	1.02E-01	0.000338
860	0.006157976	0.000142	0.000407378	7.13E-04	0.000541	1.02E-01	0.000341
862	0.006227456	0.000143	0.000470543	7.04E-04	0.000521	1.01E-01	0.000336
864	0.006363126	0.000137	0.000440935	6.95E-04	0.000501	1.01E-01	0.000335
866	0.006357787	0.000128	0.000532916	6.93E-04	0.000489	1.01E-01	0.000336
868	0.006476713	0.000141	0.000487859	6.73E-04	0.000478	1.01E-01	0.000336
870	0.006622605	0.000122	0.000638055	6.67E-04	0.000451	1.01E-01	0.000334
872	0.006761031	0.00013	0.000752729	6.53E-04	0.000438	1.01E-01	0.000332
874	0.006988944	0.000123	0.000880174	6.48E-04	0.000425	1.01E-01	0.000332
876	0.007090208	0.00012	0.001047259	6.46E-04	0.000408	1.01E-01	0.000332
878	0.007158656	0.000116	0.001087621	6.40E-04	0.000395	1.01E-01	0.000332
880	0.007279521	0.00012	0.001154087	6.28E-04	0.000388	1.01E-01	0.000331
882	0.007379688	0.000107	0.001198447	6.30E-04	0.000381	1.01E-01	0.000328
