%wavelength	Mua Oil	Mua water	cpta (mm-1)/(mg/L)	Mua Triton
400	0.016141122	-0.00066775	0	-0.008028347
402	0.013447097	-0.001711588	0	-0.009018458
404	0.012602816	-0.000859632	0	-0.008458163
406	0.011129161	-0.001389226	0	-0.009156613
408	0.010737722	-0.001020813	0	-0.008818901
410	0.009294768	-0.001389226	0	-0.00932547
412	0.008864953	-0.001181994	0	-0.009056835
414	0.007652258	-0.001527381	0	-0.00934082
416	0.006831002	-0.001274097	0	-0.009525027
418	0.006286057	-0.001212695	0	-0.009716909
420	0.005464802	-0.001143617	0	-0.009594105
422	0.004751001	-0.00149668	0	-0.010131374
424	0.004351886	-0.001665537	0	-0.009832038
426	0.003622734	-0.001819042	0	-0.009809012
428	0.003300372	-0.00161181	0	-0.010246504
430	0.002793803	-0.001634835	0	-0.009939492
432	0.002126054	-0.001972548	0	-0.010438386
434	0.001596459	-0.002064651	0	-0.010208127
436	0.001519706	-0.001680887	0	-0.01013905
438	0.000736827	-0.002417714	0	-0.010645618
440	0.000521919	-0.002072327	0	-0.0101544
442	0.000168856	-0.002317936	0	-0.010476762
444	-0.000483543	-0.002325611	0	-0.010384659
446	-0.000544945	-0.002248858	0	-0.010292555
448	-0.00107454	-0.002578895	0	-0.010637943
450	-0.000974761	-0.002233508	0	-0.010108349
452	-0.00161181	-0.002624947	0	-0.010384659
454	-0.00188812	-0.002532844	0	-0.010469087
456	-0.002080002	-0.002578895	0	-0.010338607
458	-0.002371663	-0.00271705	0	-0.010476762
460	-0.002632622	-0.002632622	0	-0.010277205
462	-0.002855206	-0.002578895	0	-0.010538164
464	-0.003346424	-0.002624947	0	-0.010845176
466	-0.003653435	-0.002647973	0	-0.010806799
468	-0.003852992	-0.002471441	0	-0.01082215
470	-0.004160004	-0.002463766	0	-0.010768423
472	-0.004467015	-0.002578895	0	-0.010730047
474	-0.004628196	-0.002555869	0	-0.010860526
476	-0.004804728	-0.002540519	0	-0.010584216
478	-0.005180816	-0.002617272	0	-0.010730047
480	-0.005388049	-0.002786128	0	-0.010722371
482	-0.00569506	-0.002786128	0	-0.010768423
484	-0.005641333	-0.002732401	0	-0.010530489
486	-0.006017422	-0.00284753	0	-0.010637943
488	-0.00610185	-0.002801479	0	-0.010614917
490	-0.006286057	-0.002893582	0	-0.010614917
492	-0.006508641	-0.002916608	0	-0.010645618
494	-0.006738899	-0.00310849	0	-0.01082215
496	-0.0067696	-0.002924283	0	-0.010630268
498	-0.006877054	-0.003001036	0	-0.010653294
500	-0.007068936	-0.002962659	0	-0.010668644
502	-0.007276169	-0.003016386	0	-0.010637943
504	-0.007460376	-0.00310849	0	-0.010768423
506	-0.007468051	-0.003116165	0	-0.010668644
508	-0.007590856	-0.003154542	0	-0.010722371
510	-0.00758318	-0.003077789	0	-0.010591891
512	-0.007721335	-0.003146866	0	-0.010660969
514	-0.007752036	-0.003077789	0	-0.010653294
516	-0.007897867	-0.003131516	0	-0.010660969
518	-0.007874841	-0.003169892	0	-0.010637943
520	-0.008158827	-0.003338748	0	-0.010829825
522	-0.008082074	-0.003246645	0	-0.010722371
524	-0.008243255	-0.003338748	0	-0.010776098
526	-0.0081051	-0.003192918	0	-0.010614917
528	-0.008312332	-0.003453878	0	-0.010753072
530	-0.008243255	-0.003246645	0	-0.010614917
532	-0.0081051	-0.003208269	0	-0.010492113
534	-0.008335358	-0.0033848	0	-0.010707021
536	-0.008419786	-0.003338748	0	-0.010730047
538	-0.00838141	-0.003430852	0	-0.010776098
540	-0.008427461	-0.003338748	0	-0.010683995
542	-0.008427461	-0.003453878	0	-0.010707021
544	-0.008450487	-0.003407826	0	-0.010730047
546	-0.008496539	-0.003499929	0	-0.010637943
548	-0.00865772	-0.003615059	0	-0.010799124
550	-0.008519565	-0.003492254	0	-0.010707021
552	-0.008565617	-0.003676461	0	-0.010753072
554	-0.008450487	-0.003438527	0	-0.010614917
556	-0.008435137	-0.003446202	0	-0.010614917
558	-0.008680746	-0.003607383	0	-0.010730047
560	-0.008588642	-0.003584357	0	-0.010683995
562	-0.008611668	-0.003599708	0	-0.010683995
564	-0.008550266	-0.003499929	0	-0.010614917
566	-0.008680746	-0.00366111	0	-0.010707021
568	-0.008565617	-0.003592033	0	-0.010568866
570	-0.008634694	-0.003707162	0	-0.010637943
572	-0.008619344	-0.003638084	0	-0.010614917
574	-0.008634694	-0.003615059	0	-0.010599567
576	-0.00865772	-0.003707162	0	-0.010653294
578	-0.008634694	-0.003699487	0	-0.01056119
580	-0.008634694	-0.00366111	0	-0.010538164
582	-0.008749823	-0.003753214	0	-0.010653294
584	-0.008680746	-0.003684136	0	-0.010568866
586	-0.008634694	-0.00366111	0	-0.010522814
588	-0.008749823	-0.003730188	0	-0.010607242
590	-0.008650045	-0.003730188	0	-0.010553515
592	-0.008688421	-0.003684136	0	-0.01056119
594	-0.008696096	-0.003737863	0	-0.010576541
596	-0.008688421	-0.003707162	0	-0.010515139
598	-0.008734473	-0.00377624	0	-0.010599567
600	-0.008696096	-0.003699487	0	-0.010522814
602	-0.008749823	-0.003737863	0	-0.01054584
604	-0.008719122	-0.003691811	0	-0.010515139
606	-0.008703772	-0.003730188	0	-0.010484437
608	-0.008688421	-0.003753214	0	-0.010499788
610	-0.008772849	-0.003806941	0	-0.010515139
612	-0.008726798	-0.003799265	0	-0.010461412
614	-0.008711447	-0.003753214	0	-0.010446061
616	-0.00865772	-0.00379159	0	-0.010407685
618	-0.008680746	-0.003783915	0	-0.010423035
620	-0.00865772	-0.00379159	0	-0.010353958
622	-0.008719122	-0.003860668	0	-0.010392334
624	-0.008719122	-0.003868343	0	-0.010407685
626	-0.008680746	-0.003876018	0	-0.010300231
628	-0.008634694	-0.003837642	0	-0.01028488
630	-0.008665395	-0.003891369	0	-0.01028488
632	-0.008703772	-0.00392207	0	-0.01026953
634	-0.008627019	-0.003929745	0	-0.010246504
636	-0.00865772	-0.00392207	0	-0.010223478
638	-0.008634694	-0.003952771	0	-0.010177426
640	-0.008673071	-0.003960446	0	-0.010185101
642	-0.008611668	-0.003983472	0	-0.0101544
644	-0.008619344	-0.003983472	0	-0.010177426
646	-0.008580967	-0.003983472	0	-0.010108349
648	-0.008588642	-0.003975797	0	-0.010116024
650	-0.008619344	-0.003991147	6.06E-04	-0.010092998
652	-0.008611668	-0.004006498	5.94E-04	-0.010085323
654	-0.008650045	-0.004014173	5.80E-04	-0.010039271
656	-0.008619344	-0.003983472	5.68E-04	-0.010031596
658	-0.008642369	-0.003983472	5.60E-04	-0.009977869
660	-0.008596318	-0.003968122	5.51E-04	-0.009931817
662	-0.008711447	-0.004060225	5.44E-04	-0.010077647
664	-0.008665395	-0.004014173	5.41E-04	-0.009970193
666	-0.008665395	-0.003998823	5.39E-04	-0.009924142
668	-0.008634694	-0.003983472	5.36E-04	-0.009901116
670	-0.008642369	-0.004014173	5.37E-04	-0.009916466
672	-0.008627019	-0.004021849	5.37E-04	-0.009893441
674	-0.008619344	-0.003991147	5.38E-04	-0.009832038
676	-0.008688421	-0.004090926	5.43E-04	-0.009939492
678	-0.008634694	-0.003998823	5.49E-04	-0.009824363
680	-0.008627019	-0.004029524	5.55E-04	-0.009816688
682	-0.008665395	-0.004113952	5.58E-04	-0.009862739
684	-0.008650045	-0.004075576	5.64E-04	-0.009785987
686	-0.008619344	-0.0040679	5.71E-04	-0.009801337
688	-0.008619344	-0.004060225	5.70E-04	-0.009739935
690	-0.008619344	-0.00405255	5.70E-04	-0.009663182
692	-0.008680746	-0.004037199	5.67E-04	-0.009709234
694	-0.008619344	-0.004014173	5.70E-04	-0.009701559
696	-0.008573292	-0.003991147	5.60E-04	-0.009609455
698	-0.00865772	-0.004029524	5.53E-04	-0.009647832
700	-0.008611668	-0.003998823	5.49E-04	-0.009594105
702	-0.008603993	-0.003960446	5.39E-04	-0.009525027
704	-0.008542591	-0.003914395	5.26E-04	-0.009478975
706	-0.008611668	-0.003899044	5.15E-04	-0.009509676
708	-0.008596318	-0.003860668	5.03E-04	-0.009425248
710	-0.008650045	-0.003852992	4.91E-04	-0.009486651
712	-0.008565617	-0.003768564	4.78E-04	-0.009448274
714	-0.008573292	-0.003684136	4.65E-04	-0.009425248
716	-0.008534915	-0.00366111	4.53E-04	-0.009448274
718	-0.00851189	-0.003538306	4.36E-04	-0.009371521
720	-0.008427461	-0.003407826	4.25E-04	-0.009386872
722	-0.008389085	-0.003277346	4.09E-04	-0.00934082
724	-0.00838141	-0.003246645	3.96E-04	-0.009317794
726	-0.008335358	-0.003062438	3.89E-04	-0.009248717
728	-0.008243255	-0.002878231	3.70E-04	-0.009202665
730	-0.008243255	-0.002647973	3.62E-04	-0.009133588
732	-0.008243255	-0.002463766	3.52E-04	-0.00906451
734	-0.008273956	-0.002387013	3.39E-04	-0.009072185
736	-0.008243255	-0.002256533	3.28E-04	-0.009041484
738	-0.008151151	-0.002072327	3.09E-04	-0.008872628
740	-0.008128125	-0.002118378	2.99E-04	-0.008841927
742	-0.007982295	-0.002003249	2.89E-04	-0.008680746
744	-0.007966944	-0.002049301	2.74E-04	-0.008611668
746	-0.007874841	-0.002049301	2.61E-04	-0.008542591
748	-0.007905542	-0.002072327	2.57E-04	-0.008519565
750	-0.007744361	-0.002010924	2.40E-04	-0.008481188
752	-0.007759712	-0.002087677	2.29E-04	-0.008542591
754	-0.007667608	-0.002080002	2.23E-04	-0.008519565
756	-0.007690634	-0.002110703	2.16E-04	-0.008496539
758	-0.007575505	-0.002026275	2.03E-04	-0.008450487
760	-0.007598531	-0.002056976	1.93E-04	-0.008427461
762	-0.007690634	-0.002110703	1.81E-04	-0.008404436
764	-0.007690634	-0.002141404	1.81E-04	-0.00838141
766	-0.007966944	-0.002026275	1.66E-04	-0.00838141
768	-0.007966944	-0.002080002	1.63E-04	-0.008335358
770	-0.008197203	-0.002241183	1.60E-04	-0.008450487
772	-0.008335358	-0.002279559	1.50E-04	-0.008496539
774	-0.00826628	-0.002210482	1.43E-04	-0.008450487
776	-0.008450487	-0.002394688	1.40E-04	-0.008611668
778	-0.008427461	-0.002371663	1.30E-04	-0.00865772
780	-0.008473513	-0.002394688	1.34E-04	-0.008665395
782	-0.008450487	-0.00244074	1.26E-04	-0.008726798
784	-0.008496539	-0.002578895	1.19E-04	-0.008749823
786	-0.008488864	-0.002532844	1.17E-04	-0.008749823
788	-0.008450487	-0.002509818	1.14E-04	-0.00865772
790	-0.008450487	-0.002647973	1.13E-04	-0.008749823
792	-0.008496539	-0.002763102	1.03E-04	-0.008818901
794	-0.008519565	-0.00283218	1.10E-04	-0.008841927
796	-0.008427461	-0.002755427	1.01E-04	-0.008749823
798	-0.008488864	-0.002855206	9.48E-05	-0.008795875
800	-0.00838141	-0.00283218	9.14E-05	-0.008680746
802	-0.008335358	-0.002862881	9.10E-05	-0.00865772
804	-0.008289306	-0.002862881	8.76E-05	-0.008627019
806	-0.008350709	-0.002970335	8.71E-05	-0.00865772
808	-0.00826628	-0.002924283	8.16E-05	-0.008565617
810	-0.00826628	-0.002947309	7.48E-05	-0.008588642
812	-0.008174177	-0.002924283	7.54E-05	-0.008496539
814	-0.0081051	-0.002816829	7.27E-05	-0.008473513
816	-0.0081051	-0.00284753	7.46E-05	-0.008335358
818	-0.008059048	-0.002763102	7.59E-05	-0.008404436
